VEC,∆χ,δ(%),ΔHmix,∆Smix,Type
7.55,7.95,4.81,8.75,14.69,SS
4.74,21.46,6.68,1.97,12,SS
4.52,4.64,1.39,1.66,6.42,SS
8.35,5.48,2.58,4.79,12.26,SS
4.51,2.81,1.28,1.9,6.07,SS
5.67,11.56,9.37,31.33,14.9,SS
4.8,17.79,4.86,1.44,13.38,SS
7.96,8.92,5.09,6.12,13.71,SS
7.82,6.64,5.28,4.9,15.08,SS
6.52,4,3.96,1.44,6.79,SS
6.14,11.61,9.42,31.43,16.18,SS
8.78,5.14,1.57,2.79,13.58,SS
9.5,1.64,1.23,5,11.54,SS
8.71,5.56,1.66,4.38,11.79,SS
7.98,7.84,3.37,4.38,13.54,SS
10.32,2.63,2.52,2.43,6.98,SS
8.22,5.46,1.64,4.2,12.14,SS
4.4,7.37,4.99,2.64,10.92,SS
5,15.54,4.08,2.88,11.62,SS
4.36,9.39,5.16,2.23,9.79,SS
7.19,8.72,7.18,17.48,13.58,SS
8.35,5.64,1.49,9.96,9.91,SS
6.75,7.14,6.27,13.19,11.73,SS
8.46,5.28,1.69,5.83,11.82,SS
6.53,4,3.94,1.56,6.71,SS
7.99,8.26,3.84,2.71,9.87,SS
4.49,10.06,9.72,3.9,6.69,SS
4.47,6.53,4.69,2.36,11.47,SS
7.19,6.83,5.85,12.53,13.69,SS
4.25,2.1,3.95,16.25,11.53,SS
8.47,5.25,1.51,5.98,11.73,SS
7.5,8.29,7,16.89,14.9,SS
4.83,15.81,6.26,2.11,14.9,SS
7.33,8.04,6.76,16.92,13.83,SS
7.95,7.85,3.5,4.69,13.7,SS
7.18,6.83,5.85,12.66,13.58,SS
