VEC,∆χ,δ(%),∆Smix,∆Hmix,phase
8.5,0.07595,3.007,14.9,1.44444,FCC
9.824,0.02424,1.759,2.33,1.55289,Multiphase
4.509,0.03263,1.302,6.15,1.85107,BCC
7.826,0.06724,5.293,15.05,4.73963,Multiphase
7.1952,0.06896,5.788,13.54,12.2822,Multiphase
6.6,0.08317,6.28,17.99,15.44,BCC
4.408,0.08785,5.026,13.58,2.59337,BCC
7.76,0.07736,3.273,13.23,3.7232,FCC
7.9925,0.07836,3.281,13.49,4.22302,FCC
6.74313,0.06989,6.298,11.64,13.4058,Multiphase
8.7826,0.05062,1.306,13.51,3.03008,FCC
7.33333,0.08614,3.111,14.9,15.1667,FCCBCC
5.46885,0.01969,6.746,6.69,6.87919,BCC
5,0.17688,5.336,13.38,10.08,Multiphase
5.42857,0.17174,3.353,16.18,11.1837,BCC
8.34,0.05653,1.618,9.98,9.8582,FCC
7.696,0.05434,1.24,10.03,3.16403,Multiphase
7.4875,0.13362,4.145,11.73,3.10937,Multiphase
5.49745,0.18792,4.969,11.61,4.25932,Multiphase
9.49615,0.01643,1.392,11.57,5.0028,Multiphase
8.22875,0.05637,2.042,11.73,4.34442,Multiphase
8.7422,0.05228,1.934,13.8,2.42143,FCCBCC
7.02,0.07455,6.12,11.73,15.2409,BCC
4.23438,0.09014,4.886,11.94,0.82086,BCC
4.6,0.19874,6.088,13.38,1.92,BCC
8.34,0.05903,1.648,10.4,9.8432,FCC
8.35,0.06435,1.832,11.76,4.76,FCC
4.75125,0.18474,6.019,11.73,2.50989,BCC
7.969,0.07845,3.423,13.61,4.50784,FCCBCC
6.77,0.07006,6.291,12.2,13.5226,FCCBCC
8.7326,0.05273,2.069,13.86,2.2574,FCCBCC
4.4,0.06773,4.718,11.18,2.36,BCC
8.229,0.05355,0.996,11.7,3.96707,FCC
4.36667,0.07808,5.612,10.33,1.96333,BCC
6.79125,0.07127,6.225,12.31,13.134,Multiphase
4.995,0.14357,4.073,11.64,2.90834,BCC
7.1824,0.06799,5.768,13.66,12.4856,BCC
7.991,0.07838,3.322,13.47,4.26147,Multiphase
8.28933,0.06131,1.239,10.05,5.20155,Multiphase
4.33967,0.08676,5.293,9.62,2.07402,Multiphase
7.9,0.08171,6.722,12.57,17.72,Multiphase
7.182,0.08702,7.17,13.83,17.2296,FCCBCC
6.512,0.03997,3.989,6.9,1.2542,BCC
4.752,0.18448,6.037,11.82,2.51571,BCC
8.69825,0.0558,1.778,11.85,4.27245,Multiphase
6.0455,0.0163,0.574,1,0.25666,BCC
5.7,0.07767,6.327,15.97,18.285,Multiphase
4.48875,0.10052,9.71,6.83,3.86509,BCC
6.099,0.07303,7.737,10.25,12.0387,Multiphase
7.42857,0.07045,4.963,16.18,7.7551,FCCBCC
7.83333,0.06622,5.29,14.9,4.77778,Multiphase
7.2,0.06781,5.788,13.38,12.32,BCC
8.9,0.04139,3.885,12.8,0.6775,FCC
6.98,0.09525,6.952,12.11,22.5645,FCCBCC
7.413,0.0667,5.583,13.58,2.64192,FCCBCC
4.495,0.02041,1.715,6.56,1.0694,BCC
7,0.09591,6.924,11.53,23.25,FCC
8.995,0.07434,3.304,13.43,1.76208,Multiphase
7.992,0.08067,3.714,13.47,4.55535,FCC
8.30267,0.05705,1.989,10.2,9.504,FCCBCC
7.178,0.06803,5.763,13.71,12.5263,BCC
5.125,0.13825,8.458,11.53,1,FCC
6.8,0.08553,7.476,13.38,26.4,BCC
7.6,0.06968,5.639,13.38,4,FCCBCC
7.69133,0.05642,2.236,10.02,3.39486,Multiphase
7.97,0.07791,3.274,13.34,3.992,FCC
7.9945,0.07837,3.306,13.44,4.22205,Multiphase
7.4895,0.0652,6.237,11.79,13.7111,FCC
4.24375,0.09,4.878,11.73,1.82334,BCC
4.75,0.18367,7.652,11.53,4,BCC
8.2038,0.05404,1.427,11.84,4.22509,FCCBCC
4.4048,0.08532,5.013,13.51,2.64388,BCC
6.495,0.12051,5.805,11.62,11.7769,Multiphase
8.60625,0.05738,2.499,12.21,3.44297,Multiphase
9.4978,0.01641,1.298,11.55,5.0016,Multiphase
10.5,0.1114,5.574,14.9,2.22222,FCC
4.4,0.06108,4.37,11.08,2.08,BCC
4.725,0.16053,5.356,13.31,0.87125,BCC
8.45,0.06516,1.806,11.76,4.84,FCC
7.999,0.07835,3.285,13.39,4.17129,FCC
4.34367,0.08357,5.105,9.49,2.49058,BCC
8.31333,0.06106,1.065,10.2,4.89026,FCC
7.84,0.06556,5.541,12.43,12.4768,FCCBCC
8.31,0.06075,1.068,10.41,4.8437,FCC
8.713,0.05214,2.022,13.83,2.36006,FCCBCC
10.74,0.0315,1.019,3.24,2.4032,FCC
7.4955,0.06511,6.245,11.66,13.7334,FCC
7.16667,0.08628,6.9,14.9,16.6667,BCC
4.25,0.07338,4.852,11.53,1.75,BCC
4.3,0.06811,4.584,10,2.14,BCC
7.9775,0.07838,3.284,13.65,4.34794,Multiphase
5,0.14312,3.781,13.38,2.56,BCC
4.34,0.08392,5.067,9.57,2.534,BCC
8.655,0.05335,2.453,14.02,1.8135,FCCBCC
7.75,0.0822,7.213,11.53,20.75,Multiphase
4.4128,0.09147,5.045,13.66,2.51793,BCC
8.282,0.06197,1.362,9.55,5.63498,Multiphase
4.36667,0.05877,4.198,10.74,1.93111,BCC
9.7606,0.03837,2.213,3.09,2.04682,FCC
7.588,0.10757,7.367,10.62,5.9496,FCC
9.857,0.02877,1.657,1.91,1.3069,Multiphase
6.044,0.01632,0.661,1.03,0.27664,BCC
8.382,0.06038,4.292,14.21,5.93344,Multiphase
8.7518,0.05182,1.789,13.74,2.58609,FCC
4.1875,0.09068,4.921,12.6,3.96625,BCC
8.7178,0.05229,1.559,14,2.43232,BCC
4.6,0.13348,3.796,13.38,12.8,BCC
7.57143,0.09073,5.318,16.18,3.5102,Multiphase
8.4,0.07658,6.508,13.38,11.04,Multiphase
5.2,0.22033,7.09,13.38,4.8,Multiphase
7.82767,0.0663,5.286,14.99,4.82788,FCC
7.189,0.06792,5.775,13.58,12.424,BCC
9.489,0.01649,1.744,11.62,5.00796,Multiphase
7.184,0.07409,6.432,13.58,13.1046,Multiphase
7.9985,0.07835,3.287,13.4,4.17694,FCC
4.33833,0.08333,5.063,9.78,1.90143,Multiphase
6.49,0.12063,5.817,11.7,11.8036,BCC
4.347,0.08576,5.116,9.56,2.43804,BCC
7.001,0.07577,6.12,11.97,15.3342,Multiphase
8.695,0.05287,1.602,14.12,2.2283,BCC
8.31867,0.05683,1.84,10.11,9.65532,FCCBCC
8.23,0.05488,1.489,11.72,4.09698,Multiphase
4.875,0.21292,6.611,17.29,3.4375,Multiphase
8.14083,0.06356,2.288,15.08,2.02206,Multiphase
7.9955,0.07836,3.301,13.43,4.21078,Multiphase
6.78125,0.07005,6.28,12.31,13.5089,FCCBCC
8.7536,0.05126,1.646,13.66,2.74903,FCC
6.83875,0.06964,6.193,12.5,12.8948,FCCBCC
5.125,0.19058,7.089,17.29,5.25,BCC
7.1872,0.07289,6.308,13.54,12.9483,Multiphase
5.838,0.15971,24.248,7.71,45.6493,FCC
8.6376,0.05371,2.566,14.07,1.65162,BCC
7.1976,0.06839,5.788,13.47,12.3011,Multiphase
8.2125,0.05508,1.279,11.93,4.05208,Multiphase
8.72125,0.05539,1.539,11.73,4.48372,FCC
8.7038,0.05406,2.424,14,1.76917,Multiphase
4.49,0.09124,5.742,7,3.23506,BCC
6.57,0.06523,6.178,12.11,11.6522,Multiphase
7.991,0.07836,3.282,13.51,4.23558,FCC
8.21902,0.05374,1.186,11.76,4.06952,FCC
8.1555,0.05495,2.001,12.07,4.71213,Multiphase
7.14286,0.11541,9.317,16.18,21.9592,Multiphase
6.78,0.07129,6.236,12.2,13.1482,Multiphase
8.2,0.08519,3.593,13.38,4.64,FCC
8.373,0.08023,3.32,13.58,2.44213,FCCBCC
4.965,0.02543,1.632,1.83,0.4239,BCC
8.723,0.05318,2.194,13.91,2.09402,Multiphase
8.20275,0.05406,1.442,11.85,4.23578,Multiphase
7.184,0.07002,6.027,13.58,12.8777,Multiphase
